# 複合語一覧 (3363 語) — 貪欲マッチによる V4 ベース分離
# 形式: [N基] 元語  ->  base1 + base2 + ...

[2基] cheepchdy  ->  cheepc + hdy
[2基] cheesees  ->  chees + ees
[2基] cheeteey  ->  cheet + eey
[2基] cheeykam  ->  cheeyk + am
[2基] cheeytey  ->  cheeyt + ey
[2基] chefalas  ->  chefal + as
[2基] chefchdy  ->  chefc + hdy
[2基] chefchey  ->  chefc + hey
[2基] chefchol  ->  chefc + hol
[2基] chefchy  ->  chefc + hy
[2基] cheg  ->  che + g
[2基] chekaiphy  ->  chekaip + hy
[3基] chekaithhy  ->  chekait + h + hy
[2基] chekalchs  ->  chekal + chs
[2基] chekchdy  ->  chekc + hdy
[2基] chekcheey  ->  chekc + heey
[2基] chekchey  ->  chekc + hey
[2基] chekchoy  ->  chekc + hoy
[2基] chekchy  ->  chekc + hy
[2基] chekeal  ->  chek + eal
[2基] chekear  ->  chek + ear
[2基] chekechy  ->  chek + echy
[2基] cheked  ->  chek + ed
[2基] chekedy  ->  chek + edy
[2基] chekeeal  ->  chek + eeal
[2基] chekeedy  ->  chek + eedy
[2基] chekeek  ->  chek + eek
[2基] chekeen  ->  chek + een
[3基] chekeesshy  ->  chek + eess + hy
[2基] chekeey  ->  chek + eey
[3基] chekeg  ->  chek + e + g
[2基] chekeo  ->  chek + eo
[2基] chekeoar  ->  chek + eoar
[2基] chekeod  ->  chek + eod
[2基] chekeody  ->  chek + eody
[2基] chekeol  ->  chek + eol
[2基] chekeor  ->  chek + eor
[2基] chekes  ->  chek + es
[2基] chekey  ->  chek + ey
[2基] chekeys  ->  chek + eys
[2基] chekhol  ->  chek + hol
[2基] cheockay  ->  cheock + ay
[2基] cheockhdy  ->  cheock + hdy
[3基] cheockhedchy  ->  cheock + hed + chy
[2基] cheockhey  ->  cheock + hey
[2基] cheockhy  ->  cheock + hy
[2基] cheocphey  ->  cheocp + hey
[2基] cheocphy  ->  cheocp + hy
[2基] cheocthedy  ->  cheoct + hedy
[2基] cheoctheey  ->  cheoct + heey
[2基] cheocthey  ->  cheoct + hey
[2基] cheocthy  ->  cheoct + hy
[2基] cheodalol  ->  cheodalo + l
[2基] cheodchy  ->  cheod + chy
[2基] cheodeeey  ->  cheod + eeey
[2基] cheodeey  ->  cheod + eey
[2基] cheodkedy  ->  cheodk + edy
[2基] cheodoiidaiin  ->  cheodoiid + aiin
[2基] cheoe  ->  cheo + e
[2基] cheoees  ->  cheo + ees
[2基] cheoekar  ->  cheo + ekar
[2基] cheoekcy  ->  cheo + ekcy
[3基] cheoekeey  ->  cheo + ek + eey
[3基] cheoekey  ->  cheo + ek + ey
[3基] cheoepey  ->  cheo + ep + ey
[2基] cheoepy  ->  cheo + epy
[2基] cheoet  ->  cheo + et
[2基] cheoiees  ->  cheoi + ees
[2基] cheokaidy  ->  cheok + aidy
[2基] cheokaiim  ->  cheok + aiim
[2基] cheokaiin  ->  cheok + aiin
[2基] cheokain  ->  cheok + ain
[2基] cheokal  ->  cheok + al
[2基] cheokaly  ->  cheok + aly
[2基] cheokam  ->  cheok + am
[2基] cheokar  ->  cheok + ar
[2基] cheokcheo  ->  cheok + cheo
[2基] cheokchet  ->  cheok + chet
[2基] cheokchey  ->  cheok + chey
[2基] cheokchy  ->  cheok + chy
[2基] cheokeain  ->  cheok + eain
[2基] cheokedy  ->  cheok + edy
[2基] cheokeeo  ->  cheok + eeo
[2基] cheokeeos  ->  cheok + eeos
[2基] cheokeey  ->  cheok + eey
[2基] cheokeo  ->  cheok + eo
[2基] cheokeodal  ->  cheok + eodal
[2基] cheokeol  ->  cheok + eol
[2基] cheokeos  ->  cheok + eos
[2基] cheokey  ->  cheok + ey
[2基] cheokor  ->  cheok + or
